n,side,group_score,strategy
106,5.9676568897819235,0.33597102598265721,final_bestof
107,5.9984868834995053,0.33627892421977207,final_bestof
108,6.0234990741288152,0.33594945459287678,final_bestof
109,6.0535049860626433,0.33619195060812185,final_bestof
110,6.0886482303687206,0.33701488430156507,final_bestof
111,6.115551897351625,0.3369367117946041,final_bestof
112,6.1408707356557581,0.33669904814315438,final_bestof
113,6.1586244743522158,0.33565181784150538,final_bestof
114,6.1754190965037976,0.33452457032862964,final_bestof
115,6.1979299395996259,0.33403770031465591,final_bestof
116,6.2187672237552585,0.33338849813148869,final_bestof
117,6.2382630204198248,0.33261474796527757,final_bestof
118,6.2623577198612876,0.3323485102670023,final_bestof
119,6.2950771228816818,0.33300836960527991,final_bestof
120,6.3228862660515386,0.33315742277852645,final_bestof
121,6.3488747832476466,0.33312571085419712,final_bestof
122,6.3712742221509222,0.33273061650692493,final_bestof
123,6.4049275830278027,0.33352111661650713,final_bestof
124,6.4340428970525672,0.33384603226703707,final_bestof
125,6.4625016961549315,0.33411142538244293,final_bestof
126,6.4886773794334474,0.33415027090770882,final_bestof
127,6.5174797805809375,0.33446884008095551,final_bestof
128,6.5389860926664554,0.33404952437566648,final_bestof
129,6.5668209689453629,0.33428788866806602,final_bestof
130,6.5950065934335296,0.33457009205716715,final_bestof
131,6.6186309592341122,0.33439905171398676,final_bestof
132,6.6295142252804338,0.33295802169087602,final_bestof
133,6.6513741776169875,0.33263743195992518,final_bestof
134,6.6710793064941729,0.3321141724890655,final_bestof
135,6.6973590091908166,0.33225642739251404,final_bestof
136,6.7188819340189525,0.33193657678886951,final_bestof
137,6.7433290720768264,0.33191596331617895,final_bestof
138,6.7711410244577852,0.33223442589199442,final_bestof
139,6.7905333698953916,0.33173628379613568,final_bestof
140,6.8173836372552774,0.33197656898225714,final_bestof
141,6.8410884194582158,0.33191837420457665,final_bestof
142,6.8720593603790858,0.3325718299477029,final_bestof
143,6.8903057964945749,0.3320021955888583,final_bestof
144,6.9143214701282449,0.33199889855747505,final_bestof
145,6.9391059821186571,0.33207718504189609,final_bestof
146,6.9573216090266889,0.3315364655577378,final_bestof
147,6.9999039897217212,0.33332418956001403,final_bestof
148,7.0233315059221342,0.33329179352755722,final_bestof
149,7.0392776927130702,0.33255993580622717,final_bestof
150,7.0598533202215297,0.33227685935361972,final_bestof
151,7.0840058402702191,0.33233866718531507,final_bestof
152,7.1099713258136488,0.33257692272297557,final_bestof
153,7.1285932057752426,0.33213621629689505,final_bestof
154,7.1516630482137034,0.33211872957912547,final_bestof
155,7.1605465748794837,0.33079630484527939,final_bestof
156,7.1742399536281152,0.3299340955912432,final_bestof
157,7.2086235579075035,0.33098250700394288,final_bestof
158,7.228142876645216,0.33067119902023406,final_bestof
159,7.247126790377088,0.33031979066541706,final_bestof
160,7.272221106399642,0.33053249887727765,final_bestof
161,7.2945031221654819,0.33049550185889415,final_bestof
162,7.3186553092576627,0.33063404651682327,final_bestof
163,7.3374308334148939,0.3302938112585741,final_bestof
164,7.3672144798130113,0.33095029994857622,final_bestof
165,7.3884545471918681,0.33084400361163757,final_bestof
166,7.4162858600726382,0.33133310818261058,final_bestof
167,7.4327328633256551,0.33081148393749216,final_bestof
168,7.4574798431011136,0.33103574768011551,final_bestof
169,7.4737393306155129,0.33051348865082375,final_bestof
170,7.5076589030307428,0.33155848355445167,final_bestof
171,7.5151659597145084,0.33027906083071168,final_bestof
172,7.5420681918999515,0.3307139105306337,final_bestof
173,7.5616837510403236,0.33051480433957953,final_bestof
174,7.5879847606284203,0.33090524556051237,final_bestof
175,7.6095390128065539,0.33088619421385679,final_bestof
176,7.6339345129398293,0.33111906902189697,final_bestof
177,7.6467084788333937,0.33035113310882774,final_bestof
178,7.6626928426012872,0.32987000898906182,final_bestof
179,7.6794824922461418,0.32946620865203918,final_bestof
180,7.7039929227895421,0.32973059419106304,final_bestof
181,7.7164182771741912,0.32896746424479512,final_bestof
182,7.7367948163602165,0.32889007709043033,final_bestof
183,7.7520222169906869,0.32838168553397384,final_bestof
184,7.7787485334961746,0.32885287362700483,final_bestof
185,7.7969919545150645,0.32861126237174404,final_bestof
186,7.8211421477616101,0.32887238976071553,final_bestof
187,7.8393920167791391,0.32864207054941441,final_bestof
188,7.8601080863066013,0.32862393153416181,final_bestof
189,7.876074595719559,0.32821455575311648,final_bestof
190,7.8984272659801009,0.32834291197883098,final_bestof
191,7.9223825747046055,0.32860809246064487,final_bestof
192,7.9484185034307444,0.32904873284208452,final_bestof
193,7.9703514556970907,0.32915286179965147,final_bestof
194,7.993807303821054,0.32938636706506613,final_bestof
195,8.0105061433241787,0.32906773678068924,final_bestof
196,8.0371231402611656,0.32956810393735453,final_bestof
197,8.0494973849265392,0.32890562512659494,final_bestof
198,8.0887133294767235,0.3304408248810829,final_bestof
199,8.0879453015457603,0.32871788543113639,final_bestof
200,8.1122233140008841,0.32904083548109742,final_bestof
